==584300== NVPROF is profiling process 584300, command: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==584300== Profiling application: ./sciara_cuda ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==584300== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",36.616828,2.518227,16000,157.389000,87.937000,229.281000,"computeOutflows_kernel(int, int, double*, double*, double*, double*, double, double, double, double, double)"
"GPU activities",29.294029,2.014621,16000,125.913000,120.609000,130.849000,"massBalance_kernel(int, int, double*, double*, double*, double*, double*)"
"GPU activities",17.712879,1.218157,48000,25.378000,17.696000,34.144000,"[CUDA memcpy DtoD]"
"GPU activities",16.368661,1.125712,16000,70.357000,53.025000,99.201000,"computeNewTemperatureAndSolidification_kernel(int, int, double, double, double, double, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, double*, bool*)"
"GPU activities",0.007603,0.000523,16,32.680000,32.480000,32.992000,"reduceAdd_kernel(double*, double*, int)"

==584300== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",32004,4.100586KB,4.000000KB,1.492188MB,128.179688MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",144153,21.382812KB,4.000000KB,508.000000KB,2.939651GB,0.000001,"Device To Host"
Total CPU Page faults: 48068
