==584856== NVPROF is profiling process 584856, command: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==584856== Profiling application: ./sciara_cuda_tiled ./data/2006/2006_000000000000.cfg ./data/2006/output_2006 16000 1000 1.0
==584856== Profiling result:
"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,s,,us,us,us,
"GPU activities",54.476538,2.039679,16000,127.479000,125.440000,130.080000,"void massBalance_kernel_tiled<int=16, int=16>(int, int, double*, double*, double*, double*, double*)"
"GPU activities",22.352978,0.836927,16000,52.307000,47.456000,62.529000,"void computeOutflows_kernel_tiled<int=16, int=16>(int, int, double*, double*, double*, double*, double, double, double, double, double)"
"GPU activities",13.022624,0.487586,48000,10.158000,7.520000,13.120000,"[CUDA memset]"
"GPU activities",7.621758,0.285369,16000,17.835000,15.968000,19.744000,"computeNewTemperatureAndSolidification_kernel(int, int, double, double, double, double, double, double, double, double, double*, double*, double*, double*, double*, double*, double*, double*, bool*)"
"GPU activities",2.512654,0.094077,16000,5.879000,4.928000,6.464000,"boundaryConditions_kernel(int, int, double*, bool*, double*, double*, double*, double*)"
"GPU activities",0.013363,0.000500,16,31.270000,31.040000,31.456000,"reduceAdd_kernel(double*, double*, int)"
"GPU activities",0.000084,0.000003,2,1.568000,1.344000,1.792000,"[CUDA memcpy HtoD]"

==584856== Unified Memory profiling result:
"Device","Count","Avg Size","Min Size","Max Size","Total Size","Total Time",""
"NVIDIA GeForce GTX 980 (0)",32004,4.100586KB,4.000000KB,1.492188MB,128.179688MB,0.000000,"Host To Device"
"NVIDIA GeForce GTX 980 (0)",144153,21.382812KB,4.000000KB,508.000000KB,2.939651GB,0.000001,"Device To Host"
Total CPU Page faults: 48068
